"home_ID","Home_pcode","homex","homey","X","Y"
0,298189,28538.031,35864.78764,103.838153108,1.34062291709
1,470611,37108.15074,34803.00445,103.915160396,1.33101916514
2,545119,35169.85429,40203.67923,103.89774502,1.37986143351
3,542261,34786.95422,41711.63992,103.89430473,1.39349897298
4,160034,27304.76061,30054.29596,103.82707157,1.28807487856
5,460554,38555.76955,34983.15162,103.92816811,1.33264788125
6,430011,35047.37807,33014.11038,103.896642802,1.31484159804
7,670537,20178.7897,40658.13248,103.763039105,1.38397117528
8,460078,39966.84221,34388.15368,103.940847145,1.32726641606
9,460013,39511.15596,33629.66025,103.936752277,1.32040705672
10,560213,28882.71765,38865.43348,103.841250411,1.36775968161
11,823175,36327.52191,42223.91616,103.908148088,1.39813140987
12,570192,30002.46098,36788.58957,103.851311945,1.3489773915
13,550218,32319.73825,37787.14585,103.872134274,1.35800773257
14,520116,41110.82141,36192.55728,103.951127181,1.34358429657
15,760775,27874.1391,44924.76373,103.832187605,1.42255810152
16,822602,36185.15812,42763.70322,103.906868987,1.40301308662
17,648923,15027.8332,35848.75039,103.716756017,1.34047509432
18,820193,36410.26986,42416.97151,103.908891701,1.39987730759
19,150003,25070.24966,29950.82982,103.806993587,1.28713903798
20,610161,15554.85676,34643.80466,103.72149212,1.32957823547
21,151055,25810.47475,29999.58252,103.813644805,1.28758000065
22,550214,32486.71924,37711.57463,103.873634697,1.35732426884
23,330031,31378.66326,33537.44587,103.863677623,1.31957508091
24,750483,26007.34668,48615.67533,103.815412527,1.45593729661
25,680485,17379.44717,39635.62605,103.737885289,1.37472312156
26,520387,41961.31955,37489.10125,103.958770007,1.35530936809
27,510739,39515.18266,40053.84142,103.936790914,1.3785049699
28,560585,30120.10391,39178.80488,103.85236921,1.37059363767
29,520267,40903.07166,36980.97548,103.949260765,1.35071454571
30,543264,35000.40797,40388.69418,103.896222464,1.38153468247
31,732628,24360.82965,46203.09816,103.800617182,1.4341186608
32,640411,15967.23646,37312.78111,103.725196515,1.3537156338
33,530930,33332.31581,39720.81172,103.881233295,1.37549494623
34,166026,27100.24971,29458.87015,103.825233973,1.28269005133
35,312079,29634.36225,35212.33988,103.848004263,1.33472237172
36,370067,34077.3095,34232.1744,103.887926493,1.3258575406
37,618646,16002.53985,35228.59603,103.725514564,1.33486705207
38,680664,18776.56984,42684.46073,103.750438469,1.40229613195
39,579819,30095.28371,36640.01666,103.852146005,1.34763374465
40,670165,20411.41946,39856.09454,103.765129664,1.37671789781
41,670181,20174.09047,40139.00184,103.762997017,1.37927634593
42,330034,31340.64846,33640.32163,103.863336052,1.32050545696
43,150082,26454.8665,29982.1188,103.819434928,1.28742210329
44,461051,40124.68757,33964.59598,103.942265302,1.3234358546
45,760724,27621.52687,45360.32335,103.82991765,1.42649714306
46,731684,24864.2924,46996.04763,103.805141184,1.44128986814
47,399849,34475.09192,32942.18959,103.891500511,1.31419129804
48,403002,35170.53865,33257.14364,103.897749518,1.31703947513
49,520295,41541.55556,36987.74155,103.954997937,1.35077545329
50,610355,15462.36177,35672.62714,103.72066058,1.33888248516
51,543204,34843.50434,41033.02153,103.894812718,1.38736178195
52,760863,28589.89646,44303.60463,103.838619319,1.41694055706
53,598722,20708.19744,37357.58069,103.767797041,1.35412232015
54,820298,36044.74809,42725.00381,103.905607277,1.40266314291
55,823199,36076.24256,42491.15994,103.905890216,1.40054833593
56,670275,21490.09491,39868.3518,103.774822341,1.3768290072
57,730415,21399.64286,45516.21497,103.774008278,1.4279062028
58,543291,35264.01923,42025.94309,103.898591613,1.39634130057
59,569788,28976.32969,40805.66405,103.842091645,1.38530642984
60,510538,41017.60517,39068.11108,103.950290827,1.36958976702
61,388133,33710.09469,32963.9981,103.884626635,1.31438867799
62,575728,27546.62611,37956.54086,103.829244713,1.35953999058
63,470629,37055.529,35155.61805,103.914687665,1.3342080901
64,530411,34898.92896,39564.48328,103.895310407,1.37408084244
65,140090,24253.70657,31970.80355,103.799656377,1.3054068799
66,358041,31753.09366,36538.42686,103.867042444,1.34671484115
67,510140,41992.7224,38423.82877,103.959052618,1.36376267548
68,138642,23134.03922,31594.08159,103.789595701,1.30199978435
69,760271,28784.8945,46607.72462,103.840371611,1.43777818028
70,597593,21504.56546,33245.66702,103.774953795,1.31693583434
71,600108,17292.12746,35606.2645,103.737102099,1.33828303072
72,530374,34288.7489,38324.90183,103.889827241,1.36287065266
73,310004,30473.02191,35691.03906,103.85554014,1.33905150015
74,249248,27464.12551,31600.53633,103.828503502,1.30205853587
75,469987,39761.2153,32664.14556,103.93899882,1.31167520269
76,640455,15225.26745,37020.176,103.718529582,1.35106911423
77,469970,39731.41672,32741.54954,103.938731095,1.31237522714
78,570263,29031.56724,37885.98362,103.842587894,1.35890188169
79,788603,27665.06082,40632.80402,103.830308897,1.38374316
80,370061,33979.7715,34219.83881,103.887050059,1.32574600123
81,162012,27940.14319,30025.4003,103.832780741,1.28781356404
82,600054,17272.2785,33760.11024,103.736924393,1.32158708215
83,730341,22190.859,45916.73488,103.781118001,1.43152853202
84,310054,29900.84757,35503.75313,103.850398804,1.33735779415
85,640923,12027.89064,35745.12529,103.689799871,1.339536508
86,535361,33824.72418,36746.14629,103.88565736,1.34859305047
87,238433,28403.86626,30760.28206,103.836947492,1.29445957395
88,448909,38215.19879,32224.38445,103.925106978,1.30769871488
89,530309,34880.3545,38694.18516,103.8951433,1.36621018603
90,140106,24246.611,32281.45534,103.799592582,1.30821630385
91,469976,39809.89609,32762.09073,103.939436278,1.31256096409
92,436879,33699.33252,31004.24001,103.884529573,1.29666532551
93,669615,20403.01165,37930.07478,103.765054606,1.35929967294
94,311098,29705.72042,35674.27451,103.848645483,1.3388999406
95,270032,23913.96755,32079.91899,103.796603648,1.30639363828
96,436894,33467.22542,31088.60133,103.882444005,1.29742830091
97,540202,34670.16172,41169.68411,103.893255134,1.38859774886
98,520288,41476.45681,36746.73104,103.954412877,1.34859587424
99,550229,32113.23266,37563.1497,103.870278655,1.35598202085
100,598749,20505.16994,37676.1208,103.765972629,1.35700303116
101,560470,30601.22965,38459.25,103.856692401,1.36408620221
102,130002,22388.75937,31716.37551,103.782899001,1.3031056412
103,210011,30080.01839,32717.01313,103.85200857,1.31215549301
104,529943,41918.1361,36840.4159,103.958381676,1.34944292286
105,681686,18503.4627,42906.64268,103.747984306,1.4043053746
106,469338,39201.9176,32997.77789,103.933973384,1.3146926595
107,455284,39099.1837,32843.60392,103.933050215,1.31329840394
108,159960,24792.53167,30147.16888,103.804498159,1.28891463211
109,169279,27533.90102,29639.84751,103.829130496,1.28432675651
110,455287,39137.28713,32728.20769,103.933392551,1.31225478899
111,436881,33689.46567,31102.56323,103.884440933,1.29755452757
112,751589,27173.77467,47942.05808,103.825894109,1.4498454065
113,544201,34708.14362,41039.58317,103.8935964,1.38742115452
114,752356,26225.55456,47873.97933,103.817373398,1.44922968274
115,519934,39871.19611,39619.05669,103.939989777,1.37457279713
116,641665,13527.73422,35788.76839,103.703276794,1.33993195674
117,416826,36795.22147,33723.34659,103.912348244,1.32125522313
118,469982,39347.17159,32627.13475,103.935278426,1.31134064581
119,750482,26012.98445,48552.3169,103.815463193,1.45536430645
120,151039,25415.09025,30127.58549,103.810092105,1.28873758437
121,529946,41896.58653,36683.10156,103.958187968,1.34802024131
122,331038,31727.79783,33582.14832,103.866814784,1.3199793135
123,384003,32398.58632,32842.30691,103.872842062,1.31328836167
124,520812,39575.96081,36565.85441,103.937335697,1.34696088755
125,159958,24763.57442,30246.62236,103.804237956,1.28981405136
126,542314,34161.9021,41445.85267,103.888688088,1.39109542915
127,431014,33665.82374,31391.56242,103.884228553,1.30016813782
128,539777,32607.22377,36225.55074,103.874717282,1.34388518246
129,320105,30287.2433,34532.85186,103.853870723,1.32857728093
130,542291,35253.51445,41970.93748,103.898497205,1.39584385254
131,640405,15548.27817,37368.79831,103.721431888,1.35422206056
132,550123,32338.68277,38768.04309,103.872304646,1.36687861263
133,822641,37281.40855,42307.93061,103.916719551,1.39889091497
134,560112,28272.6981,39254.33808,103.835768965,1.37127680783
135,543262,34875.8024,41844.2156,103.895103132,1.39469791821
136,530661,33480.98906,39563.97344,103.882569203,1.37407653006
137,510195,42103.37256,38715.07122,103.960047021,1.36639650935
138,460526,38662.19296,35157.06716,103.929124444,1.33422067231
139,642655,12888.30421,35301.83547,103.697531394,1.33552800686
140,542269,34969.07616,40617.34843,103.895940978,1.38360255586
141,642649,12953.95295,35570.42554,103.698121151,1.33795706612
142,440027,36923.6027,31818.11879,103.913501267,1.30402499503
143,520941,39953.79102,36840.08104,103.940730838,1.34944074314
144,271010,23654.21994,32273.72456,103.794269667,1.3081463117
145,648443,12904.97848,37254.61476,103.697680247,1.3531882076
146,440015,36972.42856,31912.81412,103.913940017,1.30488137128
147,689577,18819.31995,41982.84868,103.750822835,1.39595102499
148,650167,17868.39306,36562.74619,103.742279857,1.34693329942
149,448908,38034.32655,32192.04532,103.923481746,1.30740631082
150,600211,17618.76247,35645.5843,103.740037089,1.33863873867
151,730796,24643.91345,47185.2162,103.803160841,1.44300061429
152,510773,39478.39556,39653.61958,103.9364602,1.37488552705
153,640757,13235.46642,36866.5559,103.700650075,1.34967891607
154,430007,35077.30784,32899.53816,103.89691171,1.31380544109
155,151077,26227.72487,30096.09704,103.817393962,1.28845287041
156,520739,39116.68756,37922.25711,103.93320935,1.35922786582
157,470604,36888.1377,34779.48014,103.913183451,1.33080648503
158,600324,16487.20019,36755.65068,103.729868929,1.34867735778
159,357902,31990.02581,35367.30209,103.869171271,1.336123576
160,550306,31735.52981,37363.20872,103.866884724,1.35417387585
161,587975,21155.1616,36781.05517,103.771813431,1.34890853738
162,536945,34414.8047,38807.3237,103.890960041,1.36723347471
163,392003,33542.37407,32141.23987,103.883119435,1.3069479763
164,460166,40451.20756,33588.88607,103.945199101,1.32003794211
165,536019,33277.37313,36911.32597,103.880739099,1.35008697764
166,310144,29189.7529,35281.81901,103.844009195,1.33535073705
167,357992,31892.05325,36513.45475,103.868291078,1.34648898461
168,520114,41034.17247,36219.87374,103.950438457,1.34383136973
169,619062,15654.25621,35769.29833,103.722384822,1.33975682258
170,640470,15517.3629,36691.51116,103.721154376,1.3480969154
171,610065,15713.70895,34952.93255,103.722919369,1.33237393803
172,550545,32202.21421,39667.83095,103.871078509,1.37501599055
173,439945,35707.28292,31631.1418,103.902572032,1.30233436862
174,310055,29989.02581,35504.31015,103.851191137,1.33736282597
175,760131,27792.06216,46096.25841,103.83145006,1.43315267528
176,520417,40683.11056,37872.98567,103.947284656,1.35878164633
177,787066,28395.12126,40465.30651,103.83686904,1.3822283718
178,600311,16788.7161,36642.43053,103.732578275,1.34765355097
179,270016,22966.00971,32414.07426,103.788085747,1.30941547996
180,588196,20623.18075,37120.09503,103.76703317,1.3519745649
181,423720,36030.6413,32322.27189,103.905477731,1.30858461863
182,670615,20098.08106,40767.04201,103.762313848,1.38495609155
183,670131,21050.39276,39619.53777,103.770871357,1.37457872256
184,822204,35790.45807,42274.98851,103.903322152,1.39859343926
185,560212,28923.95164,38981.73651,103.841620931,1.36881148342
186,467132,40038.04398,33596.72666,103.941486621,1.32010901478
187,821126,36702.06309,41796.58478,103.911513513,1.39426667162
