home_ID,gender,age,edu,hhtype,income_cat,income,mode,hcost,dis_to_subway,POI,dis_to_cbd,AveIncome,dis_to_Yuyuantan,dis_to_Kunminghu,newPOI,ncoffee,work_ID,commute_dis,choice,distance,car_cost,car_time,pt_time,pt_cost,bike_time,bike_cost,walk_time,walk_cost,min_income,max_income,tax_rate,cum_tax,income_after_tax
1188,male,31~40,Bachelor,Living with Partner,7000元以下,21.875,自行车/电动自行车,1687481.4,1641.748424,59,11896.16725,72170,14031.1089596,26084.144722,459,1,1188,14.5426240829,3,14542.6240829,17.89861425587692,0.4847541360966667,0.9250071479367998,5.0,1.45426240829,0.0,3.2827593866591425,0.0,3000,12000.0,0.1,90.0,3360.0
1189,male,18~30,Bachelor,Living Alone,1 ~ 2万元,93.75,地铁,1417439.1,0.0,100,18699.29638,56075,16319.5378213,6781.80749852,1348,24,1189,5.36812375581,2,5368.12375581,6.606921545612308,0.178937458527,0.5896638701477818,3.0,0.536812375581,0.0,1.2117660848329572,0.0,12000,25000.0,0.2,990.0,13410.0
1190,female,31~40,Master,Three Generations or More Living Together,2 ~ 3万元,156.25,地铁,5728644.9,253.3470434,294,11593.80245,84770,14329.7233863,16402.4906329,1727,123,1190,20.0582648255,2,20058.2648255,24.687095169846156,0.6686088275166667,1.1266130098134008,5.0,2.00582648255,0.0,4.52782501704289,0.0,12000,25000.0,0.2,990.0,21410.0
1191,female,18~30,Bachelor,Living Alone,7000元 ~ 1万元,53.125,地铁,1446498.9,815.0281496,147,20158.06094,56075,17815.5216418,7917.88856653,1056,21,1191,8.31905689613,2,8319.05689613,10.238839256775385,0.2773018965376667,0.6975253946483784,4.0,0.831905689613,0.0,1.877890947207675,0.0,3000,12000.0,0.1,90.0,7860.0
1192,male,18~30,Bachelor,Living Alone,7000元以下,21.875,公交车,1805542.2,911.2198045,114,6564.038854,93478,4552.68548973,9715.9549546,1691,90,1192,13.3682693349,2,13368.2693349,16.453254566030772,0.44560897783000003,0.8820825246394864,5.0,1.33682693349,0.0,3.0176680214221223,0.0,3000,12000.0,0.1,90.0,3360.0
1193,male,31~40,Bachelor,Living Alone,1 ~ 2万元,93.75,私家车,1005853.2,1927.768402,18,30138.60787,56075,26846.5863577,14950.3238504,240,0,1193,16.7391308957,1,16739.1308957,20.602007256246154,0.5579710298566667,1.0052931327893277,5.0,1.67391308957,0.0,3.7785848523024836,0.0,12000,25000.0,0.2,990.0,13410.0
1194,female,31~40,Bachelor,Living Alone,3 ~ 5万元,250.0,私家车,2015679.6,0.0,297,10404.15657,84770,15803.4758574,23048.785119,1854,87,1194,29.5423293039,1,29542.329303900002,36.35978991249231,0.9847443101300001,1.4732713732730514,6.0,2.95423293039,0.0,6.66869735979684,0.0,35000,55000.0,0.3,6090.0,32410.0
1195,male,18~30,Bachelor,Living Alone,1 ~ 2万元,93.75,地铁,1005853.2,1916.184736,21,29978.00983,56075,26689.6450651,14797.8117457,253,0,1195,16.624969675600003,2,16624.9696756,20.461501139200003,0.5541656558533334,1.0011203499259727,5.0,1.6624969675600003,0.0,3.7528148251918743,0.0,12000,25000.0,0.2,990.0,13410.0
1196,male,31~40,Bachelor,Living with Partner,2 ~ 3万元,156.25,地铁,3217552.8,486.3543671,126,7271.548401,72170,11521.2090517,23187.2892668,1463,21,1196,29.83175454,2,29831.754539999998,36.71600558769231,0.994391818,1.4838503480279,6.0,2.983175454,0.0,6.73403037020316,0.0,12000,25000.0,0.2,990.0,21410.0
1197,male,31~40,Master,Living with Partner,3 ~ 5万元,250.0,地铁,4181872.2,324.1176727,143,7568.019946,84770,11132.0223839,16176.6232268,1872,157,1197,21.4863929681,2,21486.392968099997,26.444791345353845,0.7162130989366666,1.1788134736390015,5.0,2.14863929681,0.0,4.850201572934537,0.0,35000,55000.0,0.3,6090.0,32410.0
1198,female,31~40,Bachelor,Living with Partner,2 ~ 3万元,156.25,私家车,3026007.6,732.4863818,37,18520.40271,56075,15655.4780262,5268.58075367,741,41,1198,4.19417395049,1,4194.17395049,5.162060246756923,0.13980579834966667,0.5467540481803269,3.0,0.419417395049,0.0,0.9467661287787811,0.0,12000,25000.0,0.2,990.0,21410.0
1199,female,31~40,Bachelor,Living with Partner,2 ~ 3万元,156.25,地铁,4307358.0,482.540979,100,7393.356885,84770,13101.9082103,23074.2262007,2025,82,1199,30.4652872371,2,30465.2872371,37.495738137969234,1.01550957457,1.5070070239947335,6.0,3.04652872371,0.0,6.877040008374718,0.0,12000,25000.0,0.2,990.0,21410.0
1200,male,18~30,Bachelor,Living Alone,7000元 ~ 1万元,53.125,地铁,1267830.3,0.0,99,18341.42907,56075,16595.8666869,8372.71642316,1078,18,1200,7.78564257154,2,7785.64257154,9.582329318818463,0.25952141905133336,0.6780282120607396,4.0,0.778564257154,0.0,1.7574813931241537,0.0,3000,12000.0,0.1,90.0,7860.0
1201,female,18~30,Bachelor,Living Alone,1 ~ 2万元,93.75,出租车/网约车,1678772.7,1101.236113,60,16758.73186,93478,12308.1327735,1206.30059946,319,7,1201,4.3712861368,1,4371.2861368,5.380044476061539,0.14570953789333335,0.5532277937769347,3.0,0.43712861368,0.0,0.9867463062753952,0.0,12000,25000.0,0.2,990.0,13410.0
1202,female,18~30,Bachelor,Living Alone,1 ~ 2万元,93.75,自行车/电动自行车,2132412.33333333,891.6597813,36,19127.46943,93478,15042.4308203,2978.50914095,205,13,1202,4.67230162922,3,4672.30162922,5.750525082116923,0.15574338764066667,0.564230411717373,3.0,0.467230162922,0.0,1.0546956273634311,0.0,12000,25000.0,0.2,990.0,13410.0
1203,female,31~40,Bachelor,Living with Parents,7000元 ~ 1万元,53.125,公交车,4157059.5,514.9243432,95,9378.104171,93478,4851.5775889,7229.62487769,1838,143,1203,10.8574034127,2,10857.4034127,13.3629580464,0.36191344709,0.7903061904065395,4.0,1.08574034127,0.0,2.450881131534989,0.0,3000,12000.0,0.1,90.0,7860.0
1204,male,18~30,Master,Living Alone,5万元以上,375.0,步行,0.0,2407.879209,17,19871.49987,93478,16226.5789909,4362.27858737,127,23,1204,13.5231801418,4,13523.1801418,16.643914020676924,0.4507726713933333,0.8877447728163596,5.0,1.35231801418,0.0,3.0526366008577877,0.0,55000,80000.0,0.35,12090.0,46160.0
1205,male,31~40,Doctorate and Above,Other,7000元 ~ 1万元,53.125,地铁,4577923.0,753.9271534,363,4140.216596,84770,9431.7956302,17917.0674857,3249,343,1205,21.9217238889,2,21921.7238889,26.980583247876922,0.73072412963,1.1947255443457763,5.0,2.19217238889,0.0,4.948470403814899,0.0,3000,12000.0,0.1,90.0,7860.0
1206,male,18~30,Bachelor,Living with Parents,7000元 ~ 1万元,53.125,自行车/电动自行车,6770451.6,479.0033675,161,2547.996966,89804,7637.2668729,16549.5208955,2658,212,1206,2.78904527844,3,2789.04527844,3.432671111926154,0.09296817594800001,0.49539425333577936,3.0,0.278904527844,0.0,0.6295813269616254,0.0,3000,12000.0,0.1,90.0,7860.0
1207,male,31~40,High School and Below,Living Alone,7000元以下,21.875,自行车/电动自行车,1275634.8,666.4834964,119,21761.7595,49695,27444.4484292,34914.7285863,948,25,1207,41.9209105456,3,41920.9105456,51.59496682535385,1.3973636848533333,1.9257291486259227,16.0,4.1920910545600005,0.0,9.462959491106096,0.0,3000,12000.0,0.1,90.0,3360.0
1208,male,31~40,Bachelor,With Partner and Children,3 ~ 5万元,250.0,私家车,6093876.6,796.0546108,61,9200.069056,93478,3545.47324007,9396.5715935,1057,57,1208,13.3570626543,1,13357.0626543,16.43946172836923,0.44523542181,0.8816729017857554,5.0,1.33570626543,0.0,3.015138296681716,0.0,35000,55000.0,0.3,6090.0,32410.0
1209,male,18~30,Bachelor,Living with Partner,7000元 ~ 1万元,53.125,地铁,2535660.6,0.0,99,18341.42907,56075,16595.8666869,8372.71642316,1078,18,1209,8.075390666059999,2,8075.390666059999,9.938942358227692,0.2691796888686666,0.6886189878289364,4.0,0.8075390666059998,0.0,1.8228872835349885,0.0,3000,12000.0,0.1,90.0,7860.0
1210,female,18~30,Bachelor,Living Alone,3 ~ 5万元,250.0,地铁,0.0,1078.193951,99,28467.18214,56075,25730.2509537,14349.4787162,488,0,1210,17.4186945077,2,17418.6945077,21.438393240246153,0.5806231502566667,1.0301323154139477,5.0,1.7418694507699999,0.0,3.931985216185102,0.0,35000,55000.0,0.3,6090.0,32410.0
1211,female,31~40,Bachelor,Living with Partner,3 ~ 5万元,250.0,出租车/网约车,4167603.0,526.1217967,155,7618.437784,84770,10360.8459381,14611.6677525,1853,91,1211,18.6932871574,1,18693.287157400002,23.007122655261536,0.6231095719133334,1.0767208010815656,5.0,1.86932871574,0.0,4.219703647268624,0.0,35000,55000.0,0.3,6090.0,32410.0
1212,male,18~30,Bachelor,Three Generations or More Living Together,2 ~ 3万元,156.25,自行车/电动自行车,4476789.9,1211.102422,151,19796.65335,56075,17590.9779126,8033.87470041,1092,21,1212,7.86906414745,3,7869.06414745,9.68500202763077,0.2623021382483333,0.6810774096962099,4.0,0.786906414745,0.0,1.7763124486343116,0.0,12000,25000.0,0.2,990.0,21410.0
1213,female,18~30,Master,Living Alone,1 ~ 2万元,93.75,自行车/电动自行车,0.0,2560.155635,26,20299.48584,93478,16596.760056,4657.35104598,137,11,1213,2.90548947643,3,2905.48947643,3.5759870479138467,0.09684964921433334,0.49965048284597724,3.0,0.290548947643,0.0,0.6558666989683973,0.0,12000,25000.0,0.2,990.0,13410.0
1214,male,31~40,Master,Three Generations or More Living Together,3 ~ 5万元,250.0,私家车,2526965.1,1190.082655,24,17789.18773,93478,14198.6234599,2692.14506784,479,44,1214,0.00535176830574,1,5.35176830574,0.006586791760910769,0.000178392276858,0.39364561605118864,3.0,0.000535176830574,0.0,0.0012080741096478556,0.0,35000,55000.0,0.3,6090.0,32410.0
1215,male,18~30,Master,Living with Partner,3 ~ 5万元,250.0,地铁,2129450.4,733.4818616,208,16712.50394,56075,16422.6331482,11483.5016364,898,17,1215,12.4526520279,2,12452.6520279,15.326340957415384,0.41508840093,0.8486151860397916,5.0,1.24526520279,0.0,2.810982399074492,0.0,35000,55000.0,0.3,6090.0,32410.0
1216,male,18~30,Bachelor,Living Alone,7000元 ~ 1万元,53.125,地铁,1267830.3,0.0,99,18341.42907,56075,16595.8666869,8372.71642316,1078,18,1216,8.02010235976,2,8020.102359759999,9.870895212012307,0.2673367453253333,0.6865981080864941,4.0,0.802010235976,0.0,1.8104068532189617,0.0,3000,12000.0,0.1,90.0,7860.0
1217,male,18~30,Bachelor,Living Alone,1 ~ 2万元,93.75,出租车/网约车,746933.0,2337.716976,11,22974.16583,93478,19126.4671577,7067.30349046,91,8,1217,7.93264173408,1,7932.64173408,9.763251365021539,0.264421391136,0.6834012764501807,4.0,0.7932641734079999,0.0,1.7906640483250564,0.0,12000,25000.0,0.2,990.0,13410.0
